ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Shergaon-312-1-2,Shergaon-312-1,ʥɔ-mɔ̃ː,30,false,expert,,m ɔ̃ː -,,,2
Khispi-327-1-1,Khispi-327-1,nam-ɕu-pa,33,false,expert,,n a m,,,1
Khispi-327-1-2,Khispi-327-1,nam-ɕu-pa,31,false,expert,,ɕ u,,,2
Khispi-327-1-3,Khispi-327-1,nam-ɕu-pa,32,false,expert,,p a,,,3
Duhumbi-327-1-1,Duhumbi-327-1,nam-ɕu-pa,33,false,expert,,n a m,,,1
Duhumbi-327-1-2,Duhumbi-327-1,nam-ɕu-pa,31,false,expert,,ɕ u,,,2
Duhumbi-327-1-3,Duhumbi-327-1,nam-ɕu-pa,32,false,expert,,p a,,,3
Khoina-327-1-1,Khoina-327-1,na-ʦʰɔː-ʥi,33,false,expert,,n a -,,,1
Khoina-327-1-2,Khoina-327-1,na-ʦʰɔː-ʥi,31,false,expert,,tsʰ ɔː,,,2
Khoina-327-1-3,Khoina-327-1,na-ʦʰɔː-ʥi,32,false,expert,,dʑ i,,,3
Jerigaon-327-1-1,Jerigaon-327-1,nə-ʨo-ʥi,33,false,expert,,n ə -,,,1
Jerigaon-327-1-2,Jerigaon-327-1,nə-ʨo-ʥi,31,false,expert,,tɕʰ o,,,2
Jerigaon-327-1-3,Jerigaon-327-1,nə-ʨo-ʥi,32,false,expert,,dʑ i,,,3
Rahung-327-1-1,Rahung-327-1,pʰ-ʨʰoː-ʥi,33,false,expert,,pʰ - -,,,1
Rahung-327-1-2,Rahung-327-1,pʰ-ʨʰoː-ʥi,31,false,expert,,tɕʰ oː,,,2
Rahung-327-1-3,Rahung-327-1,pʰ-ʨʰoː-ʥi,32,false,expert,,dʑ i,,,3
Khispi-376-1-1,Khispi-376-1,bi-ɕ-taŋ,15,false,expert,,b i,,,1
Khispi-376-1-2,Khispi-376-1,bi-ɕ-taŋ,38,false,expert,,ɕ,,,2
Khispi-376-1-3,Khispi-376-1,bi-ɕ-taŋ,35,false,expert,,t a ŋ,,,3
Duhumbi-376-1-1,Duhumbi-376-1,bi-s-taŋ,15,false,expert,,b i,,,1
Duhumbi-376-1-2,Duhumbi-376-1,bi-s-taŋ,38,false,expert,,s,,,2
Duhumbi-376-1-3,Duhumbi-376-1,bi-s-taŋ,35,false,expert,,t a ŋ,,,3
Khoina-376-1-1,Khoina-376-1,ɕ-taŋ,38,false,expert,,ɕ,,,1
Khoina-376-1-2,Khoina-376-1,ɕ-taŋ,35,false,expert,,t a ŋ,,,2
Rupa-376-1-1,Rupa-376-1,s-taŋ,38,false,expert,,s,,,1
Rupa-376-1-2,Rupa-376-1,s-taŋ,35,false,expert,,t a ŋ,,,2
Khispi-384-1-1,Khispi-384-1,la-pʰuŋ-bi,41,false,expert,,l a,,,1
Khispi-384-1-2,Khispi-384-1,la-pʰuŋ-bi,40,false,expert,,pʰ u ŋ,,,2
Khispi-384-1-3,Khispi-384-1,la-pʰuŋ-bi,18,false,expert,,b i,,,3
Khoina-384-1-1,Khoina-384-1,rə-pʰiŋ-ʥi,41,false,expert,,r ə,,,1
Khoina-384-1-2,Khoina-384-1,rə-pʰiŋ-ʥi,40,false,expert,,pʰ i ŋ,,,2
Khoina-384-1-3,Khoina-384-1,rə-pʰiŋ-ʥi,18,false,expert,,dʑ i,,,3
Jerigaon-384-1-1,Jerigaon-384-1,rə-pʰiŋ-ʥi,41,false,expert,,r ə,,,1
Jerigaon-384-1-2,Jerigaon-384-1,rə-pʰiŋ-ʥi,40,false,expert,,pʰ i ŋ,,,2
Jerigaon-384-1-3,Jerigaon-384-1,rə-pʰiŋ-ʥi,18,false,expert,,dʑ i,,,3
Rupa-384-1-1,Rupa-384-1,rə-pʰyŋ-ʥi,41,false,expert,,r ə,,,1
Rupa-384-1-2,Rupa-384-1,rə-pʰyŋ-ʥi,40,false,expert,,pʰ y ŋ,,,2
