ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS	MORPHEMES	C_STRUCTURE	PATTERNS
895	Rupa	copula, negative	copula, negative	by-yː ~ bi-iː	by+yː	b y + yː		261 262	261 262	b !y + - yː	i n + n	261 262	copulanegative copulanegative	c c + c	694-32/b 744-1/ɔ + 722-40/j 451-23/u
896	Shergaon	copula, negative	copula, negative	bi-iː	bi+iː	b i + iː		261 262	261 262	b !i + - iː	i n + n	261 262	copulanegative copulanegative	c c + c	694-32/b 744-1/ɔ + 722-40/j 451-23/u
897	Khispi	corpse	corpse	lu ~ lɔː	lu	l u		263	264	l u -	i n	263	corpse	c c	583-8/r 79-2/ɔː 231-16/-
898	Duhumbi	corpse	corpse	rɔː	rɔː	r ɔː		263	263	r ɔː -	i n	263	corpse	c c	583-8/r 79-2/ɔː 231-16/-
899	Khoina	corpse	corpse	(i-i-)rɔː	rɔː	r ɔː		263	263	r ɔː -	i n	263	corpse	c c	583-8/r 79-2/ɔː 231-16/-
900	Jerigaon	corpse	corpse	rɔː	rɔː	r ɔː		263	263	r ɔː -	i n	263	corpse	c c	583-8/r 79-2/ɔː 231-16/-
901	Khoitam	corpse	corpse	rɔː	rɔː	r ɔː		263	263	r ɔː -	i n	263	corpse	c c	583-8/r 79-2/ɔː 231-16/-
902	Rahung	corpse	corpse	roː	roː	r oː		263	263	r oː -	i n	263	corpse	c c	583-8/r 79-2/ɔː 231-16/-
903	Rupa	corpse	corpse	raw	raw	r a w		263	263	r a w	i n c	263	corpse	c c c	583-8/r 79-2/ɔː 231-16/-
904	Shergaon	corpse	corpse	raw	raw	r a w		263	263	r a w	i n c	263	corpse	c c c	583-8/r 79-2/ɔː 231-16/-
906	Duhumbi	cotton	cotton	kam-bɛj bu	kam+bɛj_bu	k a m + b ɛ j _ b u		266 265 265	266 265 265	k a m + !!b !!- !!ɛ j + b - ɛ j	i n c + i n c + i n	266 265 265	cotton cotton cotton	c c c + c c c + c c	8-2/k 411-20/a 632-2/m + 376-1/b 410-1/- 780-1/ɛ 722-40/j + 0/n 0/n 0/n 0/n
907	Khoina	cotton	cotton	xɐm-pʰɐ	xɐm+pʰɐ	x ɐ m + pʰ ɐ		266 265	266 265	x ɐ m + !pʰ !- !ɐ -	i n c + i n	266 265	cotton cotton	c c c + c c	8-2/k 411-20/a 632-2/m + 376-1/b 410-1/- 780-1/ɛ 722-40/j
908	Jerigaon	cotton	cotton	hɐm-pʰɐ	hɐm+pʰɐ	h ɐ m + pʰ ɐ		266 265	266 265	h ɐ m + !pʰ !- !ɐ -	i n c + i n	266 265	cotton cotton	c c c + c c	8-2/k 411-20/a 632-2/m + 376-1/b 410-1/- 780-1/ɛ 722-40/j
909	Khoitam	cotton	cotton	ham-pʰlɔ	ham+pʰlɔ	h a m + pʰ l ɔ		266 265	266 265	h a m + !pʰ !l !ɔ -	i n c + i m n	266 265	cotton cotton	c c c + c c c	8-2/k 411-20/a 632-2/m + 376-1/b 410-1/- 780-1/ɛ 722-40/j
910	Rahung	cotton	cotton	haŋ-pʰ-gɔ ~ haŋ-kʰu-bɔ̃	haŋ+pʰ+gɔ	h a ŋ + pʰ + g ɔ		266 265 267	266 265 267	h a ŋ + !pʰ !- !- - + g ɔ	i n c + i + i n	266 265 267	cotton cotton cotton	c c c + c + c c	8-2/k 411-20/a 632-2/m + 376-1/b 410-1/- 780-1/ɛ 722-40/j + 0/n 0/n
911	Rupa	cotton	cotton	hɐŋ-pʰwɔ ~ kam-bɛj	hɐŋ+pʰwɔ	h ɐ ŋ + pʰ w ɔ		266 265	266 265	h !ɐ/a ŋ + !pʰ !w !ɔ -	i n c + i m n	266 265	cotton cotton	c c c + c c c	8-2/k 411-20/a 632-2/m + 376-1/b 410-1/- 780-1/ɛ 722-40/j
912	Shergaon	cotton	cotton	kam-ba	kam+ba	k a m + b a		266 265	266 265	k a m + !b !- !a -	i n c + i n	266 265	cotton cotton	c c c + c c	8-2/k 411-20/a 632-2/m + 376-1/b 410-1/- 780-1/ɛ 722-40/j
913	Khispi	cough (vi)	cough (vi)	ʦʰu	ʦʰu	tsʰ u		268	268	tsʰ u	i n	268	coughvi	c c	95-3/tsʰ 451-23/u
914	Duhumbi	cough (vi)	cough (vi)	ʦʰu	ʦʰu	tsʰ u		268	268	tsʰ u	i n	268	coughvi	c c	95-3/tsʰ 451-23/u
915	Khoina	cough (vi)	cough (vi)	ʦʰyː	ʦʰyː	tsʰ yː		268	268	tsʰ yː	i n	268	coughvi	c c	95-3/tsʰ 451-23/u
917	Khoitam	cough (vi)	cough (vi)	ʨʰyː	ʨʰyː	tɕʰ yː		268	268	tɕʰ yː	i n	268	coughvi	c c	95-3/tsʰ 451-23/u
918	Rahung	cough (vi)	cough (vi)	ʨʰyː	ʨʰyː	tɕʰ yː		268	268	tɕʰ yː	i n	268	coughvi	c c	95-3/tsʰ 451-23/u
919	Rupa	cough (vi)	cough (vi)	ʨʰyː	ʨʰyː	tɕʰ yː		268	268	tɕʰ yː	i n	268	coughvi	c c	95-3/tsʰ 451-23/u
921	Khispi	count	count	gaŋ	gaŋ	g a ŋ		269	269	g - a ŋ	i n c	269	count	c c c	751-2/g 746-3/ɹ 576-1/a 686-2/ŋ
922	Duhumbi	count	count	gɹaŋ	gɹaŋ	g ɹ a ŋ		269	269	g ɹ a ŋ	i m n c	269	count	c c c c	751-2/g 746-3/ɹ 576-1/a 686-2/ŋ
923	Khoina	count	count	dʐajk	dʐajk	ɖʐ aj/ai k		269	269	ɖʐ - !ai/a k	i n c	269	count	c c c	751-2/g 746-3/ɹ 576-1/a 686-2/ŋ
924	Jerigaon	count	count	ʥɛk	ʥɛk	dʑ ɛ k		269	269	dʑ - ɛ k	i n c	269	count	c c c	751-2/g 746-3/ɹ 576-1/a 686-2/ŋ
925	Khoitam	count	count	ʥɛk	ʥɛk	dʑ ɛ k		269	269	dʑ - ɛ k	i n c	269	count	c c c	751-2/g 746-3/ɹ 576-1/a 686-2/ŋ
926	Rahung	count	count	ʥɛk	ʥɛk	dʑ ɛ k		269	269	dʑ - ɛ k	i n c	269	count	c c c	751-2/g 746-3/ɹ 576-1/a 686-2/ŋ
927	Rupa	count	count	gɛk	gɛk	g ɛ k		269	269	g - ɛ k	i n c	269	count	c c c	751-2/g 746-3/ɹ 576-1/a 686-2/ŋ
928	Shergaon	count	count	gɛk	gɛk	g ɛ k		269	269	g - ɛ k	i n c	269	count	c c c	751-2/g 746-3/ɹ 576-1/a 686-2/ŋ
930	Duhumbi	cover (v)	cover (v)	tʰjɛŋ	tʰjɛŋ	tʰ j ɛ ŋ		270	270	tʰ j ɛ ŋ	i m n c	270	coverv	c c c c	46-31/tʰ 722-40/j 498-8/ɛ 774-83/ŋ
935	Rupa	cover (v)	cover (v)	tʰɛŋ	tʰɛŋ	tʰ ɛ ŋ		270	270	tʰ - ɛ ŋ	i n c	270	coverv	c c c	46-31/tʰ 722-40/j 498-8/ɛ 774-83/ŋ
937	Khispi	creeper, vine	creeper, vine	(mɛn-)tʰak	tʰak	tʰ a k		271	271	tʰ a k	i n c	271	vine	c c c	46-31/tʰ 411-20/a 691-69/k
938	Duhumbi	creeper, vine	creeper, vine	(mɛn-)tʰak	tʰak	tʰ a k		271	271	tʰ a k	i n c	271	vine	c c c	46-31/tʰ 411-20/a 691-69/k
939	Khoina	creeper, vine	creeper, vine	tʰɐk-kʰyː	tʰɐk+kʰyː	tʰ ɐ k + kʰ yː		271 272	271 272	tʰ ɐ k + kʰ yː	i n c + i n	271 272	vine creepervine	c c c + c c	46-31/tʰ 411-20/a 691-69/k + 586-36/kʰ 451-23/u
940	Jerigaon	creeper, vine	creeper, vine	tʰɐk-kʰyː	tʰɐk+kʰyː	tʰ ɐ k + kʰ yː		271 272	271 272	tʰ ɐ k + kʰ yː	i n c + i n	271 272	vine creepervine	c c c + c c	46-31/tʰ 411-20/a 691-69/k + 586-36/kʰ 451-23/u
941	Khoitam	creeper, vine	creeper, vine	tʰak-kʰyː	tʰak+kʰyː	tʰ a k + kʰ yː		271 272	271 272	tʰ a k + kʰ yː	i n c + i n	271 272	vine creepervine	c c c + c c	46-31/tʰ 411-20/a 691-69/k + 586-36/kʰ 451-23/u
942	Rahung	creeper, vine	creeper, vine	tʰak-kʰyː	tʰak+kʰyː	tʰ a k + kʰ yː		271 272	271 272	tʰ a k + kʰ yː	i n c + i n	271 272	vine creepervine	c c c + c c	46-31/tʰ 411-20/a 691-69/k + 586-36/kʰ 451-23/u
944	Shergaon	creeper, vine	creeper, vine	tʰak-kʰiː	tʰak+kʰiː	tʰ a k + kʰ iː		271 272	271 272	tʰ a k + kʰ iː	i n c + i n	271 272	vine creepervine	c c c + c c	46-31/tʰ 411-20/a 691-69/k + 586-36/kʰ 451-23/u
945	Khispi	crow	crow	haŋ-ŋa	haŋ+ŋa	h a ŋ + ŋ a		273 274	273 274	h a !ŋ + ŋ a	i n c + i n	273 274	crow crow	c c c + c c	139-2/kʰ 579-2/a 368-1/Ø + 349-10/ŋ 505-2/Ø
947	Khoina	crow	crow	fɔ-ɔ̃ː	fɔ+ɔ̃ː	f ɔ + ɔ̃ː		273 274	275 274	f ɔ !- + - ɔ̃ː	i n + n	273 274	crow crow	c c + c	139-2/kʰ 579-2/a 368-1/Ø + 349-10/ŋ 505-2/Ø
948	Jerigaon	crow	crow	hɔ-ɔ̃ː	hɔ+ɔ̃ː	h ɔ + ɔ̃ː		273 274	273 274	h ɔ !- + - ɔ̃ː	i n + n	273 274	crow crow	c c + c	139-2/kʰ 579-2/a 368-1/Ø + 349-10/ŋ 505-2/Ø
949	Khoitam	crow	crow	hu-ɔ̃ː	hu+ɔ̃ː	h u + ɔ̃ː		273 274	273 274	h u !- + - ɔ̃ː	i n + n	273 274	crow crow	c c + c	139-2/kʰ 579-2/a 368-1/Ø + 349-10/ŋ 505-2/Ø
950	Rahung	crow	crow	hɔ-ɔ̃ː	hɔ+ɔ̃ː	h ɔ + ɔ̃ː		273 274	273 274	h ɔ !- + - ɔ̃ː	i n + n	273 274	crow crow	c c + c	139-2/kʰ 579-2/a 368-1/Ø + 349-10/ŋ 505-2/Ø
951	Rupa	crow	crow	bə-hɔk	bə+hɔk	b ə + h ɔ k		275 273	275 273	b ə + h ɔ !k	i n + i n c	275 273	crow crow	c c + c c c	0/n 0/n + 139-2/kʰ 579-2/a 368-1/Ø
953	Khispi	cry	cry	kʰip	kʰip	kʰ i p		276	276	kʰ i p	i n c	209	?	c c c	637-13/kʰ 731-2/i 323-3/p
954	Duhumbi	cry	cry	kʰip	kʰip	kʰ i p		276	276	kʰ i p	i n c	209	?	c c c	637-13/kʰ 731-2/i 323-3/p
955	Khoina	cry	cry	tʂʰeˀ	tʂʰeˀ	ʈʂʰ eˀ		276	276	ʈʂʰ eˀ -	i n	209	?	c c	637-13/kʰ 731-2/i 323-3/p
956	Jerigaon	cry	cry	ʨʰeˀ	ʨʰeˀ	tɕʰ eˀ		276	276	tɕʰ eˀ -	i n	209	?	c c	637-13/kʰ 731-2/i 323-3/p
957	Khoitam	cry	cry	ʨʰeˀ	ʨʰeˀ	tɕʰ eˀ		276	276	tɕʰ eˀ -	i n	209	?	c c	637-13/kʰ 731-2/i 323-3/p
958	Rahung	cry	cry	ʨʰeˀ	ʨʰeˀ	tɕʰ eˀ		276	276	tɕʰ eˀ -	i n	209	?	c c	637-13/kʰ 731-2/i 323-3/p
959	Rupa	cry	cry	kʰeˀ	kʰeˀ	kʰ eˀ		276	276	kʰ eˀ -	i n	209	?	c c	637-13/kʰ 731-2/i 323-3/p
960	Shergaon	cry	cry	kʰeː	kʰeː	kʰ eː		276	276	kʰ eː -	i n	209	?	c c	637-13/kʰ 731-2/i 323-3/p
961	Khispi	cucumber	cucumber	mɛm-bɔŋ	mɛm+bɔŋ	m ɛ m + b ɔ ŋ		277 278	277 278	m ɛ m + b ɔ ŋ	i n c + i n c	277 278	cucumber cucumber	c c c + c c c	354-44/m 757-2/ɛ 295-15/m + 560-2/pʰ 183-38/ɔ 774-83/ŋ
962	Duhumbi	cucumber	cucumber	mɛm-pʰɔŋ	mɛm+pʰɔŋ	m ɛ m + pʰ ɔ ŋ		277 278	277 278	m ɛ m + pʰ ɔ ŋ	i n c + i n c	277 278	cucumber cucumber	c c c + c c c	354-44/m 757-2/ɛ 295-15/m + 560-2/pʰ 183-38/ɔ 774-83/ŋ
963	Khoina	cucumber	cucumber	ma-buŋ	ma+buŋ	m a + b u ŋ		277 278	277 278	m a - + b u ŋ	i n + i n c	277 278	cucumber cucumber	c c + c c c	354-44/m 757-2/ɛ 295-15/m + 560-2/pʰ 183-38/ɔ 774-83/ŋ
964	Jerigaon	cucumber	cucumber	ma-buŋ	ma+buŋ	m a + b u ŋ		277 278	277 278	m a - + b u ŋ	i n + i n c	277 278	cucumber cucumber	c c + c c c	354-44/m 757-2/ɛ 295-15/m + 560-2/pʰ 183-38/ɔ 774-83/ŋ
965	Khoitam	cucumber	cucumber	ma-buŋ	ma+buŋ	m a + b u ŋ		277 278	277 278	m a - + b u ŋ	i n + i n c	277 278	cucumber cucumber	c c + c c c	354-44/m 757-2/ɛ 295-15/m + 560-2/pʰ 183-38/ɔ 774-83/ŋ
966	Rahung	cucumber	cucumber	ma-buŋ	ma+buŋ	m a + b u ŋ		277 278	277 278	m a - + b u ŋ	i n + i n c	277 278	cucumber cucumber	c c + c c c	354-44/m 757-2/ɛ 295-15/m + 560-2/pʰ 183-38/ɔ 774-83/ŋ
967	Rupa	cucumber	cucumber	mə-/bə-buŋ	mə+	m ə		277	277	m ə -	i n	277	cucumber	c c	354-44/m 757-2/ɛ 295-15/m
968	Shergaon	cucumber	cucumber	mə-buŋ	mə+buŋ	m ə + b u ŋ		277 278	277 278	m ə - + b u ŋ	i n + i n c	277 278	cucumber cucumber	c c + c c c	354-44/m 757-2/ɛ 295-15/m + 560-2/pʰ 183-38/ɔ 774-83/ŋ
970	Duhumbi	curcuma sp.	curcuma sp.	bɔs	bɔs	b ɔ s		279	279	b ɔ s	i n c	279	curcumasp	c c c	694-32/b 389-3/ɔ 162-11/s
971	Khoina	curcuma sp.	curcuma sp.	bøˀ	bøˀ	b øˀ		279	279	b øˀ -	i n	279	curcumasp	c c	694-32/b 389-3/ɔ 162-11/s
973	Khoitam	curcuma sp.	curcuma sp.	beˀ	beˀ	b eˀ		279	279	b eˀ -	i n	279	curcumasp	c c	694-32/b 389-3/ɔ 162-11/s
974	Rahung	curcuma sp.	curcuma sp.	bøˀ	bøˀ	b øˀ		279	279	b øˀ -	i n	279	curcumasp	c c	694-32/b 389-3/ɔ 162-11/s
977	Khispi	cure (vi)	cure (vi)	ʥamp	ʥamp	dʑ a mp		280	280	dʑ a !mp	i n c	280	curevi	c c c	23-8/dʑ 633-69/a 144-1/mp
978	Duhumbi	cure (vi)	cure (vi)	ʥamp	ʥamp	dʑ a mp		280	280	dʑ a !mp	i n c	280	curevi	c c c	23-8/dʑ 633-69/a 144-1/mp
979	Khoina	cure (vi)	cure (vi)	ʥa	ʥa	dʑ a		280	280	dʑ a !-	i n	280	curevi	c c	23-8/dʑ 633-69/a 144-1/mp
981	Khoitam	cure (vi)	cure (vi)	ʥap	ʥap	dʑ a p		280	280	dʑ a !p	i n c	280	curevi	c c c	23-8/dʑ 633-69/a 144-1/mp
982	Rahung	cure (vi)	cure (vi)	ʥap	ʥap	dʑ a p		280	280	dʑ a !p	i n c	280	curevi	c c c	23-8/dʑ 633-69/a 144-1/mp
986	Duhumbi	cut	cut	ʨʰat	ʨʰat	tɕʰ a t		281	281	tɕʰ a t	i n c	281	cut	c c c	2-2/tɕʰ 84-2/a 660-2/t
987	Khoina	cut	cut	ʦat	ʦat	ts a t		281	281	ts a t	i n c	281	cut	c c c	2-2/tɕʰ 84-2/a 660-2/t
988	Jerigaon	cut	cut	ʨɛk	ʨɛk	tɕ ɛ k		281	281	tɕ ɛ k	i n c	281	cut	c c c	2-2/tɕʰ 84-2/a 660-2/t
989	Khoitam	cut	cut	ʨɛk	ʨɛk	tɕ ɛ k		281	281	tɕ ɛ k	i n c	281	cut	c c c	2-2/tɕʰ 84-2/a 660-2/t
990	Rahung	cut	cut	ʨɛk	ʨɛk	tɕ ɛ k		281	281	tɕ ɛ k	i n c	281	cut	c c c	2-2/tɕʰ 84-2/a 660-2/t
991	Rupa	cut	cut	ʦɛk ~ ʨɛk	ʦɛk	ts ɛ k		281	281	ts ɛ k	i n c	281	cut	c c c	2-2/tɕʰ 84-2/a 660-2/t
992	Shergaon	cut	cut	ʨɛk	ʨɛk	tɕ ɛ k		281	281	tɕ ɛ k	i n c	281	cut	c c c	2-2/tɕʰ 84-2/a 660-2/t
995	Khoina	dance	dance	ʂuː	ʂuː	ʂ uː		282	282	ʂ uː	i n	282	dance	c c	124-31/ɕ 104-30/a
996	Jerigaon	dance	dance	suː	suː	s uː		282	282	s uː	i n	282	dance	c c	124-31/ɕ 104-30/a
997	Khoitam	dance	dance	suː	suː	s uː		282	282	s uː	i n	282	dance	c c	124-31/ɕ 104-30/a
998	Rahung	dance	dance	suː	suː	s uː		282	282	s uː	i n	282	dance	c c	124-31/ɕ 104-30/a
999	Rupa	dance	dance	suː	suː	s uː		282	282	s uː	i n	282	dance	c c	124-31/ɕ 104-30/a
1000	Shergaon	dance	dance	suː	suː	s uː		282	282	s uː	i n	282	dance	c c	124-31/ɕ 104-30/a
1001	Khispi	daughter	daughter	da-mu	da+mu	d a + m u		283 284	283 284	d a + m u	i n + i n	135 284	? mu-suffix	c c + c c	761-25/d 129-1/a + 354-44/m 451-23/u
1002	Duhumbi	daughter	daughter	da-mu	da+mu	d a + m u		283 284	283 284	d a + m u	i n + i n	135 284	? mu-suffix	c c + c c	761-25/d 129-1/a + 354-44/m 451-23/u
1003	Khoina	daughter	daughter	(a-) də-myː	də+myː	d ə + m yː		283 284	283 284	d ə + m yː	i n + i n	135 284	? mu-suffix	c c + c c	761-25/d 129-1/a + 354-44/m 451-23/u
1004	Jerigaon	daughter	daughter	də-myː	də+myː	d ə + m yː		283 284	283 284	d ə + m yː	i n + i n	135 284	? mu-suffix	c c + c c	761-25/d 129-1/a + 354-44/m 451-23/u
1005	Khoitam	daughter	daughter	də-myː	də+myː	d ə + m yː		283 284	283 284	d ə + m yː	i n + i n	135 284	? mu-suffix	c c + c c	761-25/d 129-1/a + 354-44/m 451-23/u
1006	Rahung	daughter	daughter	də-myː	də+myː	d ə + m yː		283 284	283 284	d ə + m yː	i n + i n	135 284	? mu-suffix	c c + c c	761-25/d 129-1/a + 354-44/m 451-23/u
1007	Rupa	daughter	daughter	də-myː	də+myː	d ə + m yː		283 284	283 284	d ə + m yː	i n + i n	135 284	? mu-suffix	c c + c c	761-25/d 129-1/a + 354-44/m 451-23/u
1008	Shergaon	daughter	daughter	di-miː	di+miː	d i + m iː		283 284	283 284	d !i/ə + m iː	i n + i n	135 284	? mu-suffix	c c + c c	761-25/d 129-1/a + 354-44/m 451-23/u
1009	Khispi	daughter-in-law	daughter-in-law	u-ʨʰam	u+ʨʰam	u + tɕʰ a m		286 285	286 285	- u + tɕʰ a m	n + i n c	56 285	u/a-prefix daughterinlaw	c + c c c	242-2/u 0/n + 123-7/tɕʰ 633-69/a 153-11/m
1010	Duhumbi	daughter-in-law	daughter-in-law	u-ʨʰam	u+ʨʰam	u + tɕʰ a m		286 285	286 285	- u + tɕʰ a m	n + i n c	56 285	u/a-prefix daughterinlaw	c + c c c	242-2/u 0/n + 123-7/tɕʰ 633-69/a 153-11/m
1011	Khoina	daughter-in-law	daughter-in-law	a-ʨʰan	a+ʨʰan	a + tɕʰ a n		286 285	286 285	- a + tɕʰ a n	n + i n c	56 285	u/a-prefix daughterinlaw	c + c c c	242-2/u 0/n + 123-7/tɕʰ 633-69/a 153-11/m
1013	Khoitam	daughter-in-law	daughter-in-law	a-ʨʰam	a+ʨʰam	a + tɕʰ a m		286 285	286 285	- a + tɕʰ a m	n + i n c	56 285	u/a-prefix daughterinlaw	c + c c c	242-2/u 0/n + 123-7/tɕʰ 633-69/a 153-11/m
1014	Rahung	daughter-in-law	daughter-in-law	a-ʨʰam	a+ʨʰam	a + tɕʰ a m		286 285	286 285	- a + tɕʰ a m	n + i n c	56 285	u/a-prefix daughterinlaw	c + c c c	242-2/u 0/n + 123-7/tɕʰ 633-69/a 153-11/m
1015	Rupa	daughter-in-law	daughter-in-law	a-ʨʰam	a+ʨʰam	a + tɕʰ a m		286 285	286 285	- a + tɕʰ a m	n + i n c	56 285	u/a-prefix daughterinlaw	c + c c c	242-2/u 0/n + 123-7/tɕʰ 633-69/a 153-11/m
1018	Duhumbi	day after tomorrow	day after tomorrow	lɔw-la	lɔw+la	l ɔ w + l a		287 288	287 288	l !ɔ !w + l a	i n c + i n	287 288	dayaftertomorrow dayaftertomorrow	c c c + c c	98-38/l 16-1/ɔ 111-1/w + 98-38/l 179-1/a
1019	Khoina	day after tomorrow	day after tomorrow	lə-luː	lə+luː	l ə + l uː		287 288	287 288	l !ə !- + l uː	i n + i n	287 288	dayaftertomorrow dayaftertomorrow	c c + c c	98-38/l 16-1/ɔ 111-1/w + 98-38/l 179-1/a
1020	Jerigaon	day after tomorrow	day after tomorrow	lɛn-lu	lɛn+lu	l ɛ n + l u		287 288	287 288	l !ɛ !n + l !u/uː	i n c + i n	287 288	dayaftertomorrow dayaftertomorrow	c c c + c c	98-38/l 16-1/ɔ 111-1/w + 98-38/l 179-1/a
1021	Khoitam	day after tomorrow	day after tomorrow	luŋ-luː	luŋ+luː	l u ŋ + l uː		287 288	287 288	l !u !ŋ + l uː	i n c + i n	287 288	dayaftertomorrow dayaftertomorrow	c c c + c c	98-38/l 16-1/ɔ 111-1/w + 98-38/l 179-1/a
1022	Rahung	day after tomorrow	day after tomorrow	luŋ-luː	luŋ+luː	l u ŋ + l uː		287 288	287 288	l !u !ŋ + l uː	i n c + i n	287 288	dayaftertomorrow dayaftertomorrow	c c c + c c	98-38/l 16-1/ɔ 111-1/w + 98-38/l 179-1/a
1023	Rupa	day after tomorrow	day after tomorrow	li-luː	li+luː	l i + l uː		287 288	287 288	l !i !- + l uː	i n + i n	287 288	dayaftertomorrow dayaftertomorrow	c c + c c	98-38/l 16-1/ɔ 111-1/w + 98-38/l 179-1/a
1024	Shergaon	day after tomorrow	day after tomorrow	ly-luː	ly+luː	l y + l uː		287 288	287 288	l !y !- + l uː	i n + i n	287 288	dayaftertomorrow dayaftertomorrow	c c + c c	98-38/l 16-1/ɔ 111-1/w + 98-38/l 179-1/a
1025	Khispi	day after two days	day after two days	lɔw-ki	lɔw+ki	l ɔ w + k i		290 289	290 289	l ɔ !w + k i !-	i n c + i n	290 289	dayaftertwodays dayaftertwodays	c c c + c c	98-38/l 769-3/ɔ 261-1/w + 453-2/k 314-2/iˀ 76-1/-
1026	Duhumbi	day after two days	day after two days	lɔw-kiˀ	lɔw+kiˀ	l ɔ w + k iˀ		290 289	290 289	l ɔ !w + k iˀ !-	i n c + i n	290 289	dayaftertwodays dayaftertwodays	c c c + c c	98-38/l 769-3/ɔ 261-1/w + 453-2/k 314-2/iˀ 76-1/-
1027	Khoina	day after two days	day after two days	lə-ʨik	lə+ʨik	l ə + tɕ i k		290 289	290 289	l ə !- + tɕ i !k	i n + i n c	290 289	dayaftertwodays dayaftertwodays	c c + c c c	98-38/l 769-3/ɔ 261-1/w + 453-2/k 314-2/iˀ 76-1/-
1028	Jerigaon	day after two days	day after two days	lɛn-ʨik	lɛn+ʨik	l ɛ n + tɕ i k		290 289	290 289	l ɛ !n + tɕ i !k	i n c + i n c	290 289	dayaftertwodays dayaftertwodays	c c c + c c c	98-38/l 769-3/ɔ 261-1/w + 453-2/k 314-2/iˀ 76-1/-
1029	Khoitam	day after two days	day after two days	liŋ-ʨik	liŋ+ʨik	l i ŋ + tɕ i k		290 289	290 289	l i !ŋ + tɕ i !k	i n c + i n c	290 289	dayaftertwodays dayaftertwodays	c c c + c c c	98-38/l 769-3/ɔ 261-1/w + 453-2/k 314-2/iˀ 76-1/-
1030	Rahung	day after two days	day after two days	nin-ʨik	nin+ʨik	n i n + tɕ i k		290 289	290 289	!n/l i !n + tɕ i !k	i n c + i n c	290 289	dayaftertwodays dayaftertwodays	c c c + c c c	98-38/l 769-3/ɔ 261-1/w + 453-2/k 314-2/iˀ 76-1/-
1031	Rupa	day after two days	day after two days	liŋ-kit	liŋ+kit	l i ŋ + k i t		290 289	290 289	l i !ŋ + k i !t	i n c + i n c	290 289	dayaftertwodays dayaftertwodays	c c c + c c c	98-38/l 769-3/ɔ 261-1/w + 453-2/k 314-2/iˀ 76-1/-
1032	Shergaon	day after two days	day after two days	liŋ-kʰit	liŋ+kʰit	l i ŋ + kʰ i t		290 289	290 289	l i !ŋ + kʰ i !t	i n c + i n c	290 289	dayaftertwodays dayaftertwodays	c c c + c c c	98-38/l 769-3/ɔ 261-1/w + 453-2/k 314-2/iˀ 76-1/-
1034	Duhumbi	day before two days	day before two days	dɛj-kiˀ-ni	dɛj+kiˀ+ni	d ɛ j + k iˀ + n i		292 291 296	292 291 296	d ɛ j + k iˀ - + !n i	i n c + i n + i n	292 291 296	daybeforetwodays daybeforetwodays daybeforetwodays	c c c + c c + c c	199-2/d 398-2/ɛ 722-40/j + 453-2/k 314-2/iˀ 764-1/- + 205-1/n 649-32/i
1035	Khoina	day before two days	day before two days	di-ʨik-ri	di+ʨik+ri	d i + tɕ i k + r i		292 291 296	292 291 293	d i - + tɕ i k + !r i	i n + i n c + i n	292 291 296	daybeforetwodays daybeforetwodays daybeforetwodays	c c + c c c + c c	199-2/d 398-2/ɛ 722-40/j + 453-2/k 314-2/iˀ 764-1/- + 205-1/n 649-32/i
1036	Jerigaon	day before two days	day before two days	si-ʨik-hi	si+ʨik+hi	s i + tɕ i k + h i		292 291 296	294 291 293	s i - + tɕ i k + !h i	i n + i n c + i n	292 291 296	daybeforetwodays daybeforetwodays daybeforetwodays	c c + c c c + c c	199-2/d 398-2/ɛ 722-40/j + 453-2/k 314-2/iˀ 764-1/- + 205-1/n 649-32/i
1039	Rupa	day before two days	day before two days	di-kʰit-ni	di+kʰit+ni	d i + kʰ i t + n i		292 291 296	292 291 295	d i - + !kʰ/k i !t/k + !n i	i n + i n c + i n	292 291 296	daybeforetwodays daybeforetwodays daybeforetwodays	c c + c c c + c c	199-2/d 398-2/ɛ 722-40/j + 453-2/k 314-2/iˀ 764-1/- + 205-1/n 649-32/i
1040	Shergaon	day before two days	day before two days	tʰi-kʰik-ni	tʰi+kʰik+ni	tʰ i + kʰ i k + n i		292 291 296	292 291 293	tʰ i - + kʰ i k + !n i	i n + i n c + i n	292 291 296	daybeforetwodays daybeforetwodays daybeforetwodays	c c + c c c + c c	199-2/d 398-2/ɛ 722-40/j + 453-2/k 314-2/iˀ 764-1/- + 205-1/n 649-32/i
1041	Khispi	day before yesterday	day before yesterday	dɔ-kʰɔ-ni	dɔ+kʰɔ+ni	d ɔ + kʰ ɔ + n i		298 297 300	298 297 300	!d !ɔ + kʰ !ɔ - + n !i	i n + i n + i n	298 297 300	daybeforeyesterday daybeforeyesterday daybeforeyesterday	c c + c c + c c	311-1/d 43-1/ɔ + 586-36/kʰ 771-1/ɔ 143-3/- + 715-37/n 758-1/i
