NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
427	settle 		???	
428	seven	1704	SEVEN	2
429	sew	1457	SEW	2
430	shade	1388	SHADE	2
431	shake1 		???	
432	shake2		???	
433	sharp1 		???	
434	sharp2	1396	SHARP	2
435	sheep	1331	SHEEP	2
436	shelf 	745	SHELF	4
437	Sherdukpen 		???	
438	Shergaon, people of		???	
439	shoe, footwear	1381	SHOE	4
#<<<				
440	shoot  	3180	SHOOT (WITH SLINGSHOT)	4
440	shoot  	1172	SHOOT	4
#>>>				
441	short 	1645	SHORT	2
442	shoulder 	1482	SHOULDER	4
#<<<				
443	shy, ashamed (vi)	487	SHY	4
443	shy, ashamed (vi)	1894	ASHAMED	4
#>>>				
#<<<				
444	sick (vi)	1847	SICK	4
444	sick (vi)	1494	DIE	4
444	sick (vi)	2103	PAINFUL OR SICK	4
#>>>				
445	silver	759	SILVER	2
446	sing	1261	SING	2
447	sister-in-law	2317	SISTER-IN-LAW	2
#<<<				
448	sister, elder	1263	SISTER	4
448	sister, elder	2112	OLD (AGED)	4
448	sister, elder	2418	OLDER SISTER (OF MAN)	4
448	sister, elder	2420	YOUNGER SISTER (OF MAN)	4
448	sister, elder	2419	OLDER SISTER (OF WOMAN)	4
448	sister, elder	2421	YOUNGER SISTER (OF WOMAN)	4
448	sister, elder	1758	OLDER SISTER	4
448	sister, elder	1761	YOUNGER SISTER	4
448	sister, elder	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	4
448	sister, elder	561	SISTER (OF MAN)	4
448	sister, elder	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	4
448	sister, elder	562	SISTER (OF WOMAN)	4
#>>>				
#<<<				
449	sister, younger1 	2420	YOUNGER SISTER (OF MAN)	4
449	sister, younger1 	562	SISTER (OF WOMAN)	4
449	sister, younger1 	1263	SISTER	4
449	sister, younger1 	2421	YOUNGER SISTER (OF WOMAN)	4
449	sister, younger1 	561	SISTER (OF MAN)	4
449	sister, younger1 	2418	OLDER SISTER (OF MAN)	4
449	sister, younger1 	2419	OLDER SISTER (OF WOMAN)	4
449	sister, younger1 	1758	OLDER SISTER	4
449	sister, younger1 	1761	YOUNGER SISTER	4
#>>>				
#<<<				
450	sister, younger2 	2420	YOUNGER SISTER (OF MAN)	4
450	sister, younger2 	562	SISTER (OF WOMAN)	4
450	sister, younger2 	1263	SISTER	4
450	sister, younger2 	2421	YOUNGER SISTER (OF WOMAN)	4
450	sister, younger2 	561	SISTER (OF MAN)	4
450	sister, younger2 	2418	OLDER SISTER (OF MAN)	4
450	sister, younger2 	2419	OLDER SISTER (OF WOMAN)	4
450	sister, younger2 	1758	OLDER SISTER	4
450	sister, younger2 	1761	YOUNGER SISTER	4
#>>>				
451	sit	1416	SIT	2
452	six	1703	SIX	2
453	skin, bark	2127	BARK OR SKIN	2
454	sky 	1732	SKY	4
#<<<				
455	sleep	2972	SLEEP (STATE)	2
455	sleep	1585	SLEEP	2
#>>>				
#<<<				
456	slowly	701	SLOW	2
456	slowly	2165	SLOWLY	2
#>>>				
457	small1 		???	
458	small2 		???	
#<<<				
459	smell (n)	1906	SOUR	4
459	smell (n)	510	STRONG EFFECT	4
459	smell (n)	1221	NOSE	4
459	smell (n)	2201	LIGHT (SMELL OR TASTE)	4
459	smell (n)	1586	SMELL (PERCEIVE)	4
459	smell (n)	1587	SMELL (STINK)	4
459	smell (n)	2124	SMELL	4
#>>>				
460	smell1 (vi)		???	
461	smell2 (vi)		???	
#<<<				
462	smoke	778	SMOKE (EXHAUST)	2
462	smoke	1689	SMOKE (INHALE)	2
462	smoke	2859	SMOKE (EMIT SMOKE)	2
#>>>				
463	snake	730	SNAKE	2
464	snatch away		???	
#<<<				
465	snow	1255	SNOWING	2
465	snow	784	SNOW	2
#>>>				
466	soda ash		???	
#<<<				
467	soft / smooth	1234	SMOOTH	4
467	soft / smooth	1856	SOFT	4
#>>>				
#<<<				
468	soil, earth 	2158	EARTH (WET SUBSTANCE)	4
468	soil, earth 	626	LAND	4
468	soil, earth 	965	WORLD	4
468	soil, earth 	212	FIELD	4
468	soil, earth 	1015	SOIL	4
468	soil, earth 	1228	EARTH (SOIL)	4
468	soil, earth 	2159	GROUND	4
#>>>				
469	son	1620	SON	2
470	son-in-law	1056	SON-IN-LAW	2
471	song1 		???	
472	song2 		???	
#<<<				
473	soup, liquid, broth, juice	58	LIQUID	4
473	soup, liquid, broth, juice	1499	JUICE	4
473	soup, liquid, broth, juice	2268	POTION	4
473	soup, liquid, broth, juice	1547	SOUP	4
#>>>				
474	sour	1906	SOUR	2
#<<<				
475	sow, broadcast1	1351	SOW (FEMALE PIG)	4
475	sow, broadcast1	748	SOW SEEDS	4
#>>>				
#<<<				
476	sow, broadcast2	1351	SOW (FEMALE PIG)	4
476	sow, broadcast2	748	SOW SEEDS	4
#>>>				
477	soybean 	2027	SOYA	4
478	sparrow	1854	SPARROW	2
479	speak	1623	SPEAK	2
480	spear	945	SPEAR	2
481	spicy, pungent	544	SPICY	4
482	spider	843	SPIDER	2
#<<<				
483	spirit, soul, shadow 	53	SPIRIT	4
483	spirit, soul, shadow 	1388	SHADE	4
483	spirit, soul, shadow 	811	SOUL	4
483	spirit, soul, shadow 	2275	SHADOW	4
#>>>				
484	spit	1440	SPIT	2
#<<<				
485	spittle, spit	1440	SPIT	4
485	spittle, spit	1456	THROW	4
485	spittle, spit	1503	SALIVA	4
#>>>				
486	split1 		???	
487	split2 		???	
488	squirrel 	1628	SQUIRREL	4
#<<<				
489	squirrel, flying	1628	SQUIRREL	4
489	squirrel, flying	1441	FLY (MOVE THROUGH AIR)	4
#>>>				
490	stab	1434	STAB	2
491	stand (up)	1442	STAND	4
492	star	1430	STAR	2
493	steal 	713	STEAL	4
494	steam	1193	STEAM	2
495	stich		???	
496	stick	1295	STICK	2
#<<<				
497	stone	857	STONE	2
497	stone	1762	STONE (OF FRUIT)	2
497	stone	668	ROCK	2
#>>>				
498	story	2060	STORY	2
499	straight	1404	STRAIGHT	2
#<<<				
500	stump (tree)	241	TREE STUMP	4
500	stump (tree)	1023	STUMP OF TREE	4
#>>>				
501	suck1		???	
502	suck2		???	
503	sugarcane	146	SUGAR CANE	2
#<<<				
504	sun, day 	1260	DAY (24 HOURS)	4
504	sun, day 	1225	DAY (NOT NIGHT)	4
504	sun, day 	2140	DAY OR SUN	4
504	sun, day 	1343	SUN	4
504	sun, day 	1283	TODAY	4
#>>>				
#<<<				
505	swallow	897	SWALLOW	2
505	swallow	1346	THROAT	2
505	swallow	3077	SWALLOW (BIRD)	2
#>>>				
506	sweet	717	SWEET	2
507	swell	1573	SWELL	2
508	tail 	1220	TAIL	4
#<<<				
509	take 	2104	HOLD OR TAKE	4
509	take 	1749	TAKE	4
#>>>				
510	takin 		???	
511	taro 	351	TARO	4
512	tasty	1813	TASTY	2
#<<<				
513	tear (vt)	1651	TEAR (OF EYE)	4
513	tear (vt)	1735	TEAR (SHRED)	4
#>>>				
514	tell	1711	TELL	2
515	ten	1515	TEN	2
516	that	78	THAT	2
517	that side		???	
518	that side		???	
519	Thembang people		???	
#<<<				
520	thick	1244	THICK	2
520	thick	2239	DENSE	2
#>>>				
521	thief	1160	THIEF	2
522	thigh	800	THIGH	2
#<<<				
523	thin	2308	THIN	2
523	thin	2306	THIN (OF LEAF AND CLOTH)	2
523	thin	2249	THIN (OF SHAPE OF OBJECT)	2
523	thin	1400	THIN (SLIM)	2
523	thin	2219	LEAN (MEAT)	2
#>>>				
524	thing	738	THING	2
#<<<				
525	think	1415	THINK (REFLECT)	2
525	think	2271	THINK	2
#>>>				
526	thirsty (vi)	847	THIRSTY	4
527	this	1214	THIS	2
528	thorn	124	THORN	2
529	thousand	1843	THOUSAND	2
530	thread	1161	THREAD	2
531	three	492	THREE	2
532	throw	1456	THROW	2
#<<<				
533	thunder (vi) 	2378	THUNDER (VERB)	4
533	thunder (vi) 	1732	SKY	4
533	thunder (vi) 	1150	THUNDER	4
#>>>				
534	tie (vt)	1917	TIE	4
535	tiger	846	TIGER	2
#<<<				
536	till (hoe)	1882	BEFORE	4
536	till (hoe)	1541	CULTIVATE	4
#>>>				
537	tired (vi)	1757	TIRED	4
538	today	1283	TODAY	2
539	together with		???	
540	tomorrow	1329	TOMORROW	2
541	tongue	1205	TONGUE	2
542	tooth	1380	TOOTH	2
543	trivet		???	
#<<<				
544	trunk (tree)	2667	TORSO	4
544	trunk (tree)	1465	BOX	4
544	trunk (tree)	344	TREE TRUNK	4
#>>>				
545	tuber 	670	ROOT	4
546	tusk	2495	ELEPHANT TUSK	2
547	twenty	1710	TWENTY	2
548	twist	430	TWIST	2
549	two	1498	TWO	2
#<<<				
550	under, below	690	BOTTOM	4
550	under, below	1485	BELOW OR UNDER	4
550	under, below	415	CARRY UNDER ARM	4
550	under, below	2094	DOWN OR BELOW	4
#>>>				
551	up there1 		???	
552	up there2 		???	
#<<<				
553	up; ascend	2379	UP OR ABOVE	4
553	up; ascend	705	GO UP (ASCEND)	4
553	up; ascend	1591	UP	4
#>>>				
554	uproot		???	
555	urine	1142	URINE	2
556	vagina	1836	VAGINA	2
557	vegetable, leafy 	924	VEGETABLES	4
558	veranda		???	
559	village 	930	VILLAGE	4
560	vomit	1278	VOMIT	2
561	waist	1681	WAIST	2
562	wait1		???	
563	wait2		???	
564	wake up	1602	WAKE UP	2
#<<<				
565	walk, move, go	2873	MOVE (AFFECT EMOTIONALLY)	4
565	walk, move, go	2874	MOVE (ONESELF)	4
565	walk, move, go	765	MOVE	4
565	walk, move, go	142	RETURN HOME	4
565	walk, move, go	2739	WALK (CLASSIFIER)	4
565	walk, move, go	2979	WALK (MANNER)	4
565	walk, move, go	2890	WALK (TAKE A WALK)	4
565	walk, move, go	1443	WALK	4
565	walk, move, go	2450	FOOT OR WALK	4
565	walk, move, go	695	GO	4
#>>>				
566	walking stick	1296	WALKING STICK	2
567	walnut	2042	WALNUT	2
#<<<				
568	warm, hot (adj.)	2272	HOT OR WARM	4
568	warm, hot (adj.)	2110	WARM (OF WEATHER)	4
568	warm, hot (adj.)	1232	WARM	4
568	warm, hot (adj.)	1286	HOT	4
568	warm, hot (adj.)	544	SPICY	4
568	warm, hot (adj.)	1385	PEPPER	4
#>>>				
#<<<				
569	warm, hot (vi)	2272	HOT OR WARM	4
569	warm, hot (vi)	2110	WARM (OF WEATHER)	4
569	warm, hot (vi)	1232	WARM	4
569	warm, hot (vi)	1286	HOT	4
569	warm, hot (vi)	544	SPICY	4
569	warm, hot (vi)	1385	PEPPER	4
#>>>				
570	wash1		???	
571	wash2	1453	WASH	2
#<<<				
572	water	948	WATER	2
572	water	1487	POUR	2
572	water	3078	IRRIGATE	2
#>>>				
573	wealthy		???	
#<<<				
574	wear 	976	WEAR	4
574	wear 	158	PUT ON	4
#>>>				
#<<<				
575	weave 	133	WEAVE	4
575	weave 	1729	PLAIT OR BRAID OR WEAVE	4
#>>>				
576	weed, grass	606	GRASS	4
577	wet1		???	
578	wet2	1726	WET	2
579	wheat	1077	WHEAT	2
580	when	1238	WHEN	2
581	where	1237	WHERE	2
582	white	1335	WHITE	2
583	who	1235	WHO	2
584	wife	1199	WIFE	2
585	wind	960	WIND	2
586	window	1375	WINDOW	2
587	wing	1257	WING	2
588	wipe	1454	WIPE	2
589	woman	962	WOMAN	2
590	wood	1803	WOOD	2
591	wool	964	WOOL	2
592	word	1599	WORD	2
#<<<				
593	work	984	WORK (LABOUR)	2
593	work	2281	WORKING OR WORK	2
593	work	1086	WORK (ACTIVITY)	2
#>>>				
#<<<				
594	wring, squeeze	1414	SQUEEZE	4
594	wring, squeeze	93	DRAW MILK	4
#>>>				
595	year	1226	YEAR	2
596	year, next	515	NEXT YEAR	2
597	year, this	513	THIS YEAR	2
598	yellow	1424	YELLOW	2
599	yesterday	1174	YESTERDAY	2
#	483/599	81%	

