Gloss	Khispi	Duhumbi	Khoina	Jerigaon	Khoitam	Rahung	Rupa	Shergaon
full	pɕiŋ- ~ ɕiŋ-ba	pɕiŋ-ba	a-pʰiŋ	a-pʰiŋ	a-pʰiŋ	a-pʰiŋ	pʰiŋ-ba	pʰiŋ 
gall, bile	ɕa-ɕi	Ø	a-ʦʰi	a-ʨʰi	a-ʨʰi	a-ʨʰi	a-ʨʰi	a-ʨʰi
garden	suɹ-ʨʰuɹ	sɔɹ-ʨʰuɹ	Ø	Ø	moː-ʨʰɔɹ	Ø	Ø	Ø
garlic	maŋ	maŋ	ma-siŋ	mɔɹ-siŋ	mɔ-siŋ	Ø	mɔŋ-siŋ	mɔŋ-siŋ
give	ɕi	ɕi	ʦʰiː	ʨʰiː	ʨʰiː	ʨʰiː	ʨʰiː  ~ ʣiː	ʨʰiː
go	ɔŋ	ɔŋ	ɔŋ	aŋ	aŋ	ɔŋ	ɔŋ	ɔŋ
goat	Ø	Ø	sy-ʣøː	sə-ʥøː	ʥə-zĩː	zyː	zøː ~ zɛ̃ː	zɛ̃ː
goitre	du-lu	du-luˀ ~ dɔ-rɔˀ	Ø	d-rɔ	d-rɔː	d-roː	də-raw	də-raw
gold	sɛl	sɛɹ	siŋ	siŋ	sɛɹ	sɛɹ	sin	sin
good 	Ø	ɔ-ʥɔp 	a-dʐaˀ	a-ʥɛˀ	a-ʥap	a-ʥap	a-ɟap ~ a-ʥap	a-ʥap
goral 	ɕa-ʑɛl	ɕa-zɛɹ 	Ø	sə-zɛn	ʥə-zan	zan	zan	zan
gourd	kʰa-ʨʰɔŋ (law)	Ø	kʰ-ʨʰuŋ	Ø	Ø	kʰ-ʨʰuŋ	Ø	Ø
grandfather	Ø	Ø	a-suː	Ø	Ø	a-suː	a-suː	Ø
grandmother	a-ji	a-ji	a-jɐʰ	a-jɐʰ	a-jɔʰ	a-jɔʰ	a-jɔʰ	a-jiː
green	jaŋ ~ ʥaŋ-ku	jaŋ	ɔ-xɐ̃ː	ɔ-hɐ̃ː	ɔ-hɔ̃ː	ɔ-hɔ̃ː	ɔ-hɔ̃ː	ɔ-hɔ̃ː
grind, pound	Ø	Ø	ʐyː	zyː	zyː(n)	zyː	zyː(n) 	ziː
gum 	Ø	ɕa-ɲi-lum 	mə-ʂə-rĩː	Ø	Ø	sə-niŋ	sə-ɲiŋ	Ø
hail	Ø	Ø	na-jyŋ	nə-jiŋ	ny-jiŋ 	niŋ  ~ niŋ nam-bruː	ny-jyŋ	Ø
hair (body): feather	mul ~ muɹ 	Ø	a-miŋ	a-miŋ	a-miŋ	a-miŋ 	a-miŋ 	a-miŋ ~ min-du
hair (head)	kʰu-ɕaŋ 	kʰu-ɕaŋ ~ kʰu-zjaŋ	gə-ʐaŋ	gə-zaŋ	gə-zaŋ	gə-zaŋ	gə-zaŋ	gə-zaŋ
halt, stop	Ø	kak	kʰɐk	Ø	Ø	gak	Ø	Ø
hand, arm	hut	hut	ik	ik	ik	ik	ik	ik
hard	Ø	Ø	Ø	a-ʨuː	a-ʨuː	a-ʨuː	a-ʦuː ~ a-ʨuː	a-ʨuː
hatch	Ø	ʦɔk	ʦɔk	Ø	ʨɔk	ʨɔk	Ø	Ø
head	kʰɔ-lɔk	kʰɔ-lɔk	Ø	kʰ-ruk	kʰ-ruk	kʰ-ruk	kʰ-ruk	kʰ-ruk
heart	lɔŋ-tʰa ~ luŋ-tʰa	luŋ-tʰak 	ʂə-lyŋ	sə-lyŋ	sə-lyŋ	sə-lyŋ	s(ə)-lyŋ	sə-luŋ
hearth, fireplace	bu-du	bɛj-dup ~ bu-dup	Ø	Ø	b-rɔp	b-r-p	b-rɔp	b-rɔk
heavy	u-li	u-li	a-liː	a-liː	a-liː	a-liː	a-liː 	a-liː
here	Ø	Ø	tʰa ~ tʰə-nɔː-rɔ	tʰ-rɔ ~ u-tʰu-rɔ	tʰ-ru	tʰ-ruŋ	tʰu-gɔ	tʰɔ
hide	uk 	uk	uk	uk	uk	uk	uk	uk
hold	zum	zum	Ø	zøn	zɔm	Ø	zɔm	zɔm
honey 	ʨʰi-ʨʰu	ʨʰi-ʨʰu ~ ʨʰu-ʨʰu	ʦʰiː	ʨʰiː	ʦʰə-siː ~ ʦʰ-siː ~ ʦʰiː	Ø	ʨʰiː	ʨʰiː
horn	kʰɛŋ	kʰjɛŋ	tʂʰajŋ	ʨʰɛŋ	ʨʰɛŋ	ʨʰɛŋ	kʰɛŋ	kʰɛŋ
hornbill	Ø	Ø	ʨʰa-lu-wɔ̃ː(ŋ)	Ø	pʰu-lũː(ŋ)	hu-lũŋ	də-wɔŋ 	Ø
hornet 	Ø	ʨʰik-ʨʰu kʰɔ-lɔk	də-ʦʰyː	ʨʰyː ~ sə-ʨʰyː(ŋ)	ʦʰ-syː ~ ʦʰə-syː	Ø	də-ʨʰøː 	Ø
horse	ɕ-ta	ɕ-taˀ ~ ɕip-taˀ 	ʂ-tu	s-tu	s-tu	s-tu	s-tu 	s-tu
horsefly 	Ø	tam-pi	tim-pu la-dʐɔː	Ø	tam-pi la-ʥɔŋ	ʨa-pim-ʥɔŋ	Ø	Ø
house	wam	wam	jan	jan ~ jɛn	jam	jam	jam	jam
how many	a-pʰi-n	a-pʰi ~ a-pʰi-hin ~ a-pʰi-n	nə-pʰaː hɛn	Ø	Ø	mə-pʰɛː-hɛn	ɲə-pãj-jaː-aː  ~ ja-pãj	nə-pa-n
human being	bu-dun	bu-dun	ʥə-riŋ	ʥə-riŋ	ʥə-riŋ	ʥə-riŋ	ʥə-rin	ʥi-rin
human being prefix 	bi-	bi-	ʣi- ~ ʥi-	ʥi-	ʥi-	ʥi-	ʥi- ~ ʣi-	ʥi-
hungry (vi)	kʰam	kʰam	a-kʰũː(ŋ)-dy 	kʰɔ̃ː(ŋ)	kʰũː(ŋ)	kʰũː(ŋ)	kʰũː(ŋ)	kʰɔ̃ː
hunter	ɕa-pa	ɕa-pa	sa-pɐ	sa-pɐ	sa-pɔ	sa-pɔ	sa-pɔ	sa-po
husband	u-ja	ɔj	a-jaː	a-jɛːʰ	a-jɛːʰ	a-jɛːʰ	a-jaː 	a-jaː
ice	kʰɛk	kʰɛt	Ø	Ø	kak	kak	kak	kak
imperative	-ma	-ma	-ma	-ma	-mɔ	-mɔ	-mɔ	-mɔ
in	Ø	Ø	a-lyŋ	a-lyŋ	a-lyŋ	a-lyŋ	a-lyŋ	a-luŋ
Indo-Aryan person	bi-ʨʰa	bi-ʨʰa	də-ʨʰuː	Ø	ʨʰə-ʨʰuː	ʨʰə-ʨʰuː	nə-ʨʰuː ~ də-ʨʰuː	də-ʨʰuː
insect	pʰu	pʰu	pʰyː(j)	pʰyː	pʰyː	pʰyː(j)	pʰyː 	pʰiː
intestines	Ø	Ø	a-haː	a-lɛːʰ	a-lɛːʰ ~ a-rɛːʰ	a-lɛːʰ	a-laː 	a-laː
iron	Ø	Ø	sɛ̃ĩ	sɛ̃ĩ	ʨĩˀ 	ʨĩˀ	sɛ̃ːˀ 	sɛ̃ː
itch	aw	aw	ɔː	ɔː	oː	oː	oː 	oː
jackal 	mej-lɔŋ	mɛj-rɔŋ	Ø	mɛ-rɔŋ	Ø	Ø	mə-ryŋ	maj-rɔŋ
Jerigaon people 	Ø	Ø	də-ʨĩː-ʥi	kʰ-ʨĩː-ʥi	Ø	Ø	di-ʨʰi-ʥi 	Ø
jump	ʥɔŋ	ʥɔŋ	ʦʰɛː	Ø	ʨʰɔː	ʨʰoː	ʦʰaw 	Ø
keep, remain	da	da	Ø	ruː	Ø	Ø	ruː	Ø
Khoitam people	kʰus-tam-bi	Ø	gə-tam-ʥi	kʰ-tam-ʥi	Ø	Ø	gə-tam-ʥi	ka-tam-ʥi 
kick (v)	lɛj tɔm	lɛj tɔm	la-tʂʰyː tuŋ	la-ʨʰyː tuŋ ~ la-ʨʰøː tuŋ	la-ʨʰyː rɛˀ	la-ʨʰyː rɛˀ	la-kʰyː raˀ	la-kʰiː raˀ
kill	at	at	ɐˀ	ɐˀ	ɔˀ	ɔˀ	ɔˀ	ɔ
kiss (n)	ʨup	ʨup	ʦyː	Ø	ʨup	ʨup	ʦup	Ø
knee	kɔː-lɔk-pa	kɔː-lɔk-pa	ja-pʰyk kɹaː	la-pʰyk kɹiː	lə-pʰik-kʰɔm ~ lə-kʰyk-kʰɔm	la-pʰik-kʰɔm ~ la-pʰik-kʰøm	lə-pʰyk ~ lə-fyk	kʰlɔk-puː
know	dɛn	dɛn	dɛn	dɛn	dan	dɛn	dan	dan
ladder	luŋ-tʰuŋ	luŋ-tʰuŋ	la-tʰøː	lə-tʰøː	liŋ-tʰĩː	lan-tʰyː	lə-tʰøː ~ də-tʰøː	lə-tʰøː
language	ŋak ~ ŋap	ŋak ~ ŋap	nɔ	nu ~ nɔ	nu	nuk	ɲuk ~ ɲu	ɲɔ
langur 	ɕa-ʑa ~ sa-ʑat	ɕa-ʑɛt ~ ɕa-ʑɛˀ 	zə-zu	zə-zu	zə-zu ~ ʥə-zu	zu	zə-zu 	zu
lap	de-ma 	dɛm 	dɛ̃ː	dɛ̃ĩ	dĩː	dĩː	dɛ̃ː	dɛ̃ː
late (vi)	Ø	jɔt	Ø	jeˀ	jeˀ	jeˀ	jeˀ	Ø
laugh	ʑej ~ ʑe	ʑɛj	ʐaː	zɛ ~ zaː	zɛː	zɛː	zaː 	zaː
leaf	u-lap	u-lap	a-la	a-lɛˀ	a-rap	a-rap	a-lap	a-lap
leaf litter	sum-ba	sum-baˀ	sɔɹ-bɔ	sɔɹ-bɔ	su-bɔ	sə-boː	sɔɹ-bɔ	sɛj-bu
leech, land	pat-pa	pat-pa	pʰa-wɛ	pʰy-wɛ	pʰu-wap	pʰə-pʰɛ	pʰu-wat	pat-pu
leech, water	pʰu-tis	Ø	di-ʦʰik	pʰyː pʰ-ʨʰik	pʰ-ʨʰik	pʰ-ʨʰik	Ø	ʨʰin-ʨʰɹik
left (side)	ɲim-lak-pa ~ ɲim-dak-pa	jɔm-lak-pa	a-xɛ	ə-he-tɛn ~ a-he-tɛn	ə-he	he-tɔ ~ he-tɛn	bə-kʰe	bə-kʰe
leg 	lej	lɛj	laː	lɛˀ	lɛˀ	lɛˀ	laˀ 	la
lick	lak	lak	lɐk	lɐk	lak	lak	Ø	Ø
lie (n)	Ø	Ø	tɛˀ	s-teˀ	s-teˀ	s-teˀ	s-teˀ	s-teˀ
lift completely, carry	kʰaŋ	kʰaŋ	Ø	Ø	kʰaŋ	Ø	kʰaŋ	kʰaŋ
light 	jaŋ-ɕɔk ~ jaŋ-kan-ma	jaŋ-pu	a-ruŋ-du	a-ruŋ-du	a-ruŋ-du	a-ruŋ-du	a-ruŋ-du	a-ruŋ-du
lightning	nam-liŋ ~ nam-ki-liŋ waŋ	Ø	nə-ʦʰaː	nam-bla kʰɛː	nam tap	nam-ʨʰə-rɛː rɛt ~ ʨʰe	nə-myː ba tap	ni-mi ba tap
like, love	Ø	hɔn 	xøː	Ø	hĩː	hyː	høn	Ø
liquor	pʰak	pʰak	pʰɐk	pʰɐk	pʰak	pʰak	pʰak	pʰak
listen, heed	na ~ ha 	na ~ ha	nu 	nu 	nuŋ 	nuŋ	nu ~ nuŋ	Ø
live, stay	ʥu	ʥu	ʣɔː	ʥɔː	ʥɔː	ʥoː	ʥaw 	ʥaw
liver	ɕa-pɕin 	Ø	də-ʦʰɛ̃ː	sɛ̃ĩ 	s-sĩː ~ sə-sĩː ~ ʦʰ-sĩː ~ ʦʰə-sĩː	a-ʨʰĩː	a-ʦʰɛ̃ː ~ a-ʨʰĩː	a-ʦʰɛ̃ː
load (n)	jɔŋ	jɔŋ	juŋ	Ø	juŋ	juŋ	juŋ	Ø
locative	-kʰɔ	-kʰɔ	-kʰɔ	Ø	Ø	Ø	-gɔ	-kʰɔ
long	u-liŋ 	u-riŋ	a-rajŋ	a-rɛŋ	a-rɛŋ	a-rɛŋ	a-rɛŋ	a-rɛŋ
look	Ø	Ø	lɛn	lɛn	lan	lɛn	lan	Ø
louse	hɛk	hjɛk	xajk	hɛk ~ hɛʔ-mu	hɛk	hɛk	hɛk	hɛk
lungs 	Ø	Ø	sə-rĩː sə-ruk	sə-rɛ̃ĩ sə-ruk	sə-rĩː sə-ruk	su sə-ruk	sə-lyŋ sə-ruk	sə-luŋ sə-ruk
macaque 	Ø	ɕa-dɔŋ	ʐy-duŋ	z(ə)-duŋ	z(ə)-duŋ	z(ə)-duŋ	z(ə)-duŋ	z(ə)-duŋ
machete	hɔ-da	hɔt-da	han-duː	haŋ-guː ~ haŋ-gə-duː ~ haŋ-duː	han-duː	han-duː	han-duː	han-duː
maize	mɔː-ɕɔ	mɛj-ɕiŋ	ma-ʦɛ̃ː	mə-ʨĩː	mə-ʨĩː	pʰ-ʨĩː ~ bə-ʨĩː	Ø	Ø
make	ʨɔs	ʨʰɔt	ʨʰɛt	Ø	Ø	Ø	Ø	Ø
male	u-pʰa	u-pʰa	a-pʰuː	a-pʰuː	a-pʰuː	a-pʰuː	a-pʰuː	a-pʰuː
man	ʑɔː-pʰa	ʑɔː-pʰa	ʥə-fuː	ʥə-huː	ʥə-huː	ʥə-huː	ʥə-huː	ʥə-huː
manure	Ø	he-ba 	ha-wuː	Ø	luː 	la-wuː	hũ 	Ø
marrow 	Ø	Ø	ma-ny	a-nyː	a-nyː	a-nyː	a-ɲyː	Ø
marten 	taŋ-kɔŋ	taŋ-kɔŋ	tʰaŋ-kʰuŋ 	taŋ-kuŋ	taŋ-kuŋ	taŋ-kuŋ	taŋ-kuŋ	taŋ-kuŋ
meat, animal	ɕa	ɕa	a-xyː	suː	suː	suː	suː 	suː a-tɛ̃ː
medicine	pɛn 	man ~ mɛn 	mɛn	mɛn	man	mɛn ~ man	man	man
meet	ɕu	ɕu	ʂyː(j)	Ø	syː	Ø	syː 	Ø
melt	ʑu	ʑu	ʐyː	zyː	zyː	zyː	zyː 	ziː
middle / centre	ɔ-ʦɔŋ	ɔ-ʦɔŋ	a-ʦuŋ	Ø	Ø	Ø	a-ʦuŋ	Ø
Miji people	Ø	Ø	kʰu-nɔ̃ː 	kʰu-nɔ̃ː-ʥi 	Ø	kʰu-nũː(ŋ) 	kʰu-nũː 	kʰu-nɔ̃ː 
millet, broomcorn 	Ø	ɲiŋ-ʨʰak	nə-ʨʰɐk	Ø	Ø	nə-ʨʰak	nə-ʦʰak	nə-ʨʰak
millet, finger  	Ø	Ø	gə-ʦan	kʰ-ʨɛn	kʰ-ʨam	kʰ-ʨam	gə-ʦam ~ gə-ʨam	gə-ʨam
millet, foxtail 	Ø	ɲiŋ-kʰaˀ	nə-kʰu	Ø	nə-kʰu	Ø	nə-kʰu	nə-kʰu
mithun 	ɕa-ma	ɕa-ma	ʂa-m	sə-muː	su-m	su-m	sə-muː	sə-muː
Monpa 	mɔn-pa	mɔn-pa 	ʥə-mɐ̃ː	Ø	Ø	mɔn-pa	ʥə-mɔ̃ː	ʥɔ-mɔ̃ː
moon, month 	nam-ba	nam-ba  ~ nam-la 	nam-bluː	nam-bluː	nam-bluː	nam-bruː	nam-bluː	nam-bluː
morning	Ø	Ø	Ø	s(ə)-ruː s(ə)-ri	nə-ruː	nə-ruː	ɲə-ruː	ɲy-ruː
mortar (wood)	ʦʰum	ʦʰum 	ʦøn	ʨøn	ʨɔm	ʨøm	ʦɔm	ʨɔm
mother	a-ma	a-ma	a-muː	a-muː ~ a-mɐ	a-muː ~ a-maː	a-muː	a-mɔ	a-mo
mountain	la	la 	luː	luː	luː	luː	luː	luː
mountain peak	li-guŋ	ri ~ riw	Ø	Ø	ri-wuː	riː-wuː	riː ~ riw	Ø
mouse, rat	sam-tu	sam-tu	s-tʰøˀ	s-tʰøˀ	s-tɔp	s-tøˀ	s-tɔp	s-tɔp
mouth	hɔ-ʨɔ 	hɔ-ʨu ~ hu-ʨu	də-ʦʰɛː	sɔː	sə-sɔː ~ ʨʰə-sɔː	ʨʰə-ʨʰoː	nə-ʦʰaw ~ də-ʦʰaw	nə-ʨʰaw
much	me-ka	mjɛ-ka	a-mɛ	a-mɛ	a-mɛ	jə-mɔ	a-mat	a-mat
mud	kʰa-ʨʰam	kʰa-ʨʰam	ga-ʦʰyː	kʰ-ʨʰɔ̃ː(ŋ)	kʰ-ʨʰũː(ŋ)	kʰ-ʨʰũː(ŋ)	gə-ʨʰũː	kʰ-ʨʰɔ̃ː
mushroom	mu	mu	myː	myː	myː	myː 	myː 	miː
naga, serpent deity 	hu	hu	Ø	Ø	Ø	Ø	lyː	Ø
nail 	hut-ʨʰin	hut-ʦun ~ hut-ʦum 	ik-ʦiŋ	ik-ʨʰiŋ	ik-ʨiŋ	ik-ʨiŋ	ik-ʦiŋ ~ ik-ʦĩː(ŋ) ~ ik-ʨiŋ	ik-ʨiŋ
name	biŋ 	biŋ	a-ʣajŋ	a-ʥɛŋ	a-ʥɛŋ	a-ʥɛŋ	a-zɛŋ	a-zɛŋ 
Namshu people	nam-ɕu-pa	nam-ɕu-pa 	na-ʦʰɔː-ʥi	nə-ʨo-ʥi 	Ø	pʰ-ʨʰoː-ʥi	Ø	Ø
navel	bɔ-di	bɔ-di	b-raː	(sə-riː) b-rɛː	(pʰə-riŋ  ~ fɛ-riŋ) b-rɛː	(sə-riŋ) b-rɛː	(sə-riŋ) b-raː	bu-ti-mu
neck	hɛn-tʰɔŋ	hɛn-tʰɔŋ	nə-tu-xĩː 	Ø	nə-tʰuŋ	pʰ-tʰuŋ	tʰuŋ-ʦɛ̃ː 	Ø
need to, have to	ʦʰɛt	ʦʰɛt	ʦʰɛˀ	Ø	ʨʰeˀ	ʨʰeˀ	ʨʰeˀ	Ø
needle	pɕi	pɕi	pʰliː	pʰliː	pʰliː	pʰliː	pʰliː 	pʰliː
negative prefix	ba-	ba-	bə- ~ by-	bə- ~ by-	bə- ~ by-	bə- ~ by-	bɔ- ~ bi- ~ bə-	bɔ- ~ bi- ~ bə-
nest, hive, womb	kʰɔp 	kʰɔp ~ kʰɔk	kʰɔp ~ kʰɔk	kʰɔk	kʰɔk	kʰɔk	kʰɔk	kʰɔk
net for fishing	ʨʰɔp	ʨʰɔp	ʦʰuk	Ø	Ø	Ø	ʦʰuk ~ ʨʰuk	Ø
new	ɔ-han	ɔ-kʰɔn 	a-fɛn	ə-hɛn	a-fan	a-hɛn ~ ɛ-hɛn	a-fan ~ ɔ-fan	u-fan
night	nam-pʰɔŋ	nam-pʰɔŋ	na-pʰuŋ	Ø	nə-pʰuŋ	nə-pʰuŋ	nə-pʰuŋ ~ nə-pʰuː	nə-pʰuŋ
nine	tʰi-kʰu	tʰi-kʰu	dy-kʰyː(j)	tʰ-kʰyː	tʰə-kʰyː ~ tʰɛk-kʰyː	tʰɛk-kʰyː	də-kʰyː 	də-kʰyː
nomen agentis	-kʰɛn	-kʰɛn	-kʰɛn	-kʰɛn	-kʰan	-kʰɛn	-kʰan	-kʰan
nominaliser 	-ba ~ -pa	-ba ~ -pa	Ø	-ba	Ø	-ba	Ø	Ø
noon 	buɕ-tan	bis-tan ~ bus-tan	ha-tɐ̃ː	ha-tɐ̃ː	ha-tɔ̃ː	ha-tɔ̃ː	ha-tɔ̃ː	ha-tɔ̃ː
nose	hɛm-pʰɔŋ	hɛm-pʰɔŋ	nə-pʰuŋ	nə-pʰuŋ	nu-pʰuŋ ~ nə-pʰuŋ	ma-pʰuŋ	lə-pʰuŋ ~ nə-pʰuŋ	nə-pʰuŋ
oil	Ø	Ø	Ø	Ø	tʰoː	tʰoː	tʰoː 	tʰoː
okay 	aj ~ e	aj	Ø	ɐː	ɔː	ɔː	Ø	Ø
old 	ɔ-mɛn	ɔ-mɛn	a-mɛn	a-mɛn	a-man	a-mɛn ~ ɛ-mɛn	a-man	a-man
one	hin 	hin	hɛn	hɛn	han	hɛn	han	han
other 	bi	bi	ʥi	ʥi	ʥi	ʥi	ʥi 	ʥi
other 	Ø	Ø	a-ga	a-ʥiː ~ a-ga	a-byː ~ a-biː	a-byː	ə-bɛː	Ø
otter	Ø	Ø	nə-mɐk	ny-mɐk ~ nə-mak	ny-mak	ny-mak ~ ni-mak	ɲə-mak ~ ɲy-mak	ɲu-mak
outside	Ø	Ø	a-fũː-rɔ 	a-hɔ̃ː(ŋ)	a-hũː(ŋ)	u-hũː(ŋ)	a-hũː(ŋ)-gɔ	ɔ-hɔ̃ː
palm, sole1	pʰa-la 	pʰa-ɹa 	Ø	Ø	ik-paɹ	ik-paɹ	la ʦa-paɹ	ik-paɹ
palm, sole2	Ø	Ø	ik-tʰɔ̃ː	ik-tʰɔ̃ː(ŋ)	Ø	Ø	ik-tʰũː(ŋ)	Ø
pangolin 	Ø	Ø	ry-wøː	Ø	sy-wɛːʰ	su-wɛːʰ	Ø	Ø
partridge 	Ø	kam-kɔw 	Ø	hu-kʰøː	f-kʰøː	mɔ-kʰøː	Ø	kʰɔj-kʰɔj-ma
path, road	hu-ma	hu-ma	ham	ha-mu ~ lə-mu	lym	lum ~ lym	nə-mu ~ lə-mu	lə-mu
patient marker	-ɲi	-ɲi	-ɲiː	Ø	-niː	-niː	-jiː ~ -iː 	Ø
peas	(ʥam) pʰo-bin	(ʥam) pʰop-liŋ	(pʰuk) pʰɔŋ-ba	(pʰuk) pʰɔŋ-ba	(pʰuk) pʰɔm-bɛ	(pʰuk) pʰam-bɛ	(pʰuk) pʰam-pʰla	(suk) pʰam-pʰla
penis	lak	lak	lɐk	lɐk	lak	lak	lak	lak
pheasant, kalij 	Ø	Ø	fə-tʂʰajk	hu-ʨʰɛk	f-ʨʰɛk	pʰə-ʨʰɛk	bə-kʰɛk	bə-kʰɛk
pheasant, tragopan 	Ø	bap	Ø	hu-ba	hu-bɔ	Ø	hu-bɔ	bap
pig	ɕa-bak	ɕa-bak	ʂu-wɐk	s-wɐk ~ sə-wɐk	su-wak	su-wak	su-wak	su-wak
pillow	kʰum-u	kʰu-kʰum	ʂaŋ-kʰɔn ~ ʂaŋ-kʰøn	sa-kʰøn	saŋ-kʰɔm	saŋ-kʰɔm ~ saŋ-kʰøm	s-kɔm	s-kɔm
pinch	ʦik	ʦik	ʦik	Ø	ʨik	ʨik	ʦik	Ø
pine kindle	bi-ʦi	bɛj-ʦi	ba-ʦi	ba-ʨi	ba-ʨi	ba-ʨi	baː bə-ʦi 	bap-ʨi
plait 	pʰa	pʰa 	pʰla (kam-ziŋ)	pʰɛˀ	pʰuː	Ø	pʰuː ~ pʰlaː	Ø
plant  (vt)	haj	haj	hɐː	Ø	lɔː	lɔː	lɔ	Ø
play	lej	lɛj	lɐː	mɛŋ ~ jɛŋ	jɛŋ	jɛŋ	loː	loː
plough (v)	wuj	wɔj	wɐː	Ø	wɔː	wɔː	woː	Ø
plural 	-tʰe	-tʰeˀ	-tʰik	-tʰik	-tʰɛk	-tʰɛk 	-tʰiː 	Ø
poison 	duk	duk ~ dup	dyk	dyk	dyk	dyk	dyk	duk
porcupine 	ɕa-bi	ɕa-bɛj	ʂu-bɐʰ	su-bɐʰ	zu-bɔʰ	sə-bɔʰ ~ su-bɔʰ	sə-bɔ	sə-bɔ
potato-bean 	Ø	mɛn	Ø	Ø	man	Ø	man	Ø
pour 	huk	huk	Ø	Ø	Ø	Ø	lyk	luk 
present 	-de	-deˀ	-di	Ø	Ø	Ø	Ø	Ø
prohibitive prefix	tʰa-	tʰa-	Ø	tʰə-	tʰə-	tʰə-	də-	də-
pull1	kʰɛŋ	kʰjɛŋ	Ø	Ø	Ø	ʨʰɛŋ	kʰɛŋ	kʰɛŋ
pull2	Ø	Ø	giː	giː	giː	giː	Ø	Ø
pulse	ɕak-pu	ɕak-pu	ɕɐk-pyː	sɐk-pyː	sak-pyː	sak-pyː	sak-pyː	sak-piː
pumpkin	buŋ-ɕa	brum-ɕa	ma-pʰluŋ	ma-pʰluŋ	ma-pʰluŋ	ma-pʰluŋ	buŋ-glɔ̃ ~ buŋ-blɔ̃	brum-sɔː
Puroik	bi-ɕ-taŋ	bi-s-taŋ 	ɕ-taŋ	Ø	Ø	Ø	s-taŋ 	Ø
pus	haj	haj	a-nɐ̃ʰ	a-nɐ̃ʰ	a-nɔ̃ʰ	a-nɔ̃ʰ	a-nɔ ~ ɔ-nɔ	a-nɔ
push	du	du	ryː(j)	ryː	ryː	ryː	ryː	ryː
put	Ø	ʨɔj	ʦʰɐʰ	ʨʰɐʰ	ʨʰɔʰ	ʨʰɔʰ	ʨʰɔʰ	ʨʰɔʰ
quarrel (v)	aj ɕɔŋ	aj ɕɔŋ	ja iː	jɛˀ iː ~ aˀ iː	jɛˀ iː	jɛˀ iː	ja di 	Ø
question 	ja	ja	Ø	Ø	ja ~ a	ja ~ a	ja ~ a	Ø
quiver	li-ʑi-bi	ʑip-li	ʐi	zi	zi	zi	zə-zyː ~ zi	zi-li
radish	mu-la	mu-la	ma-luː	mə-luː	mə-luː	mə-luː	mə-luː	mu-luː
Rahung, people of	la-pʰuŋ-bi	Ø	rə-pʰiŋ-ʥi	rə-pʰiŋ-ʥi 	Ø	Ø	rə-pʰyŋ-ʥi	ru-pʰuŋ-ʥi 
rain (n)	Ø	nam-ʦʰa 	na-ʦʰuː	nə-ʨʰuː	nə-ʨʰuː	pʰ-ʨʰuː	nə-ʦʰoː ~ nə-ʦʰuː	Ø
rainbow	Ø	Ø	paː-hu 	pʰaŋ-lu	pʰaŋ-lu	pʰaŋ-ruŋ	pʰaŋ-kʰ- lũ(ŋ) ~ pʰaŋ-kʰə-lu	pʰaŋ-kʰə-lu
reap 	Ø	ram	Ø	Ø	rũː(ŋ)	rũː(ŋ)	rũː(ŋ)	Ø
recognise	is	is	ɛ̃ˀ	Ø	ĩˀ	ĩˀ	ɛ̃ˀ 	Ø
red	ɔ--hɛk	ɔ-hjɛk ~ ɔ-kʰjɛk	a-xajk	ə-hɛk ~ a-hɛk	ə-hɛk ~ a-hɛk	ə-hɛk	ə-hɛk	ə-hɛk
reflexive marker	-bi	-bi	-ʥi	-ʥi	-ʥi	-ʥi	-ʥi 	-ʥi
rest (n)	ɕɔk	ɕɔk 	a-ʨyk	Ø	a-ʨʰɔ̃ː	ʨʰɔ̃ː	do-ʨʰɔk	Ø
rib	ɕi-ki-liŋ 	Ø	Ø	hə-rɛ̃ĩː	hə-rĩː	hə-rĩː	ha-rɛ̃ː ~ hə-rɛ̃ː	hə-rɛŋ 
rice, husked	Ø	Ø	ʦʰuː 	ʨʰuː	ʨʰuː	ʨʰuː	Ø	Ø
rice, unhusked, paddy 	ni-ɕi	ni-ɕi 	Ø	a-seː	nə-seː	Ø	nə-seː	ni-seː
ride, mount 	il	iɹ	Ø	Ø	Ø	Ø	ɛ̃ː(n) 	Ø
right 	u-ɕu	u-ɕu 	a-ʦɐ̃ː	a-ʨɐ̃ː	a-ʨɔ̃ː	ʨɔ̃ː	a-ʦɔ̃ː 	a-ʨɔ̃ː
ripe	jɔm-ba	jɔm-ba	a-juŋ	juŋ-ba 	a-juŋ	juŋ-ba	juŋ-ba	a-juŋ
roof	wam-ʨʰa 	wam-ʨʰa	jam ʦʰɔ̃ː(ŋ)	Ø	nam bə-ʨʰũː	jam-ʨʰũː(ŋ)	jam-ʦʰɔŋ  	Ø
root	Ø	Ø	a-xĩː	i-hĩː	a-hĩː	ə-hĩː	ə-hĩː 	Ø
rope	tʰak	tʰak	ɕ-tʰɐk	s-tʰɐk	tʰak	tʰak	tʰak	tʰak
rot (vi)	ham	ham	xũː	hɔ̃ː(ŋ)	hũː(ŋ)	hũːŋ	hũː	hɔ̃ː
round, small object 	bu 	bɹu 	lak a-byː	Ø	bɹɔː 	suk a-byː	lak a-bɹyː 	lak a-bɹyː 
rub 	Ø	Ø	nyŋ	nyŋ	Ø	nyŋ	nyŋ	Ø
